"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\README.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 21, 47
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\package-lock.json", "JSON", 0, 0, 0, 18125, 0, 0, 0, 1, 18126
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\public\images\down-arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\public\images\logo.svg", "XML", 0, 0, 0, 0, 15, 0, 1, 1, 17
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\App.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 6, 40
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\App.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\App.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\app\store.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\components\Header.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\components\Home.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\components\Section.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\features\counter\Counter.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 4, 68
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\features\counter\Counter.module.css", "CSS", 0, 69, 0, 0, 0, 0, 0, 10, 79
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\features\counter\counterAPI.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\features\counter\counterSlice.js", "JavaScript", 47, 0, 0, 0, 0, 0, 19, 8, 74
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\features\counter\counterSlice.spec.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\index.css", "CSS", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 4, 24
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\VISHAL SAWAI\Desktop\mern\React project\tesla-clone\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 281, 113, 26, 18192, 17, 20, 52, 87, 18788